Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,9.769531358381675,276.4,266.6304686416183
2025-02,13.695373128122531,276.4,252.93509551349575
2025-03,24.208545532907053,276.4,228.7265499805887
2025-04,29.66795740358636,276.4,199.05859257700232
2025-05,35.21711415017229,276.4,163.84147842683
2025-06,35.17713314453324,276.4,128.66434528229678
2025-07,35.745287374258815,276.4,92.91905790803796
2025-08,21.73723312145328,276.4,71.18182478658468
2025-09,14.114798325480214,276.4,57.06702646110447
2025-10,12.663819687637526,276.4,44.40320677346694
2025-11,11.623040289584743,276.4,32.7801664838822
2025-12,8.81592153864186,276.4,23.96424494524034
