Month,Total_Projection,Stock_Total,Stock_Flow
2025-01,6.289119291753303,1.2,-5.089119291753303
2025-02,7.261176083848783,1.2,-12.350295375602085
2025-03,11.637196022479298,1.2,-23.98749139808138
2025-04,14.657818158538491,1.2,-38.64530955661987
2025-05,16.377194071090937,1.2,-55.022503627710805
2025-06,13.679630923091528,1.2,-68.70213455080233
2025-07,15.128540945403689,1.2,-83.83067549620601
2025-08,11.150204681258767,1.2,-94.98088017746478
2025-09,7.714567361771063,1.2,-102.69544753923584
2025-10,9.285477584310792,1.2,-111.98092512354664
2025-11,7.377815208378997,1.2,-119.35874033192563
2025-12,4.34645635254664,1.2,-123.70519668447227
